,Site_Id,SiteName,Region,geometry,index_right,Code,Name
0,33,RANDWICK,Sydney East,POINT (151.24278 -33.93175),48,10048,Randwick - North/ Randwick - South
1,39,ROZELLE,Sydney East,POINT (151.16395 -33.86433),69,10069,Balmain/ Lilyfield - Rozelle
2,70,LINDFIELD,Sydney East,POINT (151.1509 -33.78113),84,10084,Lindfield - Roseville
3,107,LIVERPOOL,Sydney South-west,POINT (150.90727 -33.93132),149,10149,Liverpool/ Warwick Farm
4,171,BRINGELLY,Sydney South-west,POINT (150.76192 -33.91766),138,10138,Green Valley - Cecil Hills area
5,190,CHULLORA,Sydney East,POINT (151.0461 -33.89156),51,10051,Chullora/ Greenacre/ Yagoona - Birrong
6,206,EARLWOOD,Sydney East,POINT (151.13577 -33.91619),56,10056,Kingsgrove - North/ Earlwood
7,259,WYONG,Central Coast,POINT (151.43239 -33.27891),13,10013,Wyong
8,287,WALLSEND,Lower Hunter,POINT (151.67021 -32.89435),291,10291,Wallsend - Elermore Vale
9,294,CARRINGTON,Newcastle Local,POINT (151.76335 -32.90964),285,10285,Hamilton - Broadmeadow area
10,295,STOCKTON,Newcastle Local,POINT (151.78429 -32.90201),290,10290,Stockton - Fullerton Cove
11,300,NEWCASTLE,Lower Hunter,POINT (151.75965 -32.9312),289,10289,Merewether - The Junction/ Newcastle - Cooks Hill
12,304,MAYFIELD,Newcastle Local,POINT (151.72842 -32.88488),288,10288,Mayfield - Warabrook/ Waratah - North Lambton
13,322,BERESFIELD,Lower Hunter,POINT (151.66099 -32.79677),284,10284,Beresfield - Hexham/ Shortland - Jesmond
14,340,TAMWORTH,North-west Slopes,POINT (150.91451 -31.1099),266,10266,Tamworth - East
15,500,WOLLONGONG,Illawarra,POINT (150.88733 -34.41706),234,10234,Wollongong
16,526,KEMBLA GRANGE,Illawarra,POINT (150.81913 -34.47408),220,10220,Berkeley - Warrawong - Windang
17,573,RICHMOND,Sydney North-west,POINT (150.74731 -33.61641),114,10114,Richmond - Clarendon/ Windsor - Bligh Park
18,574,BARGO,Sydney South-west,POINT (150.58061 -34.30621),103,10103,Bargo/ Picton - Tahmoor - Buxton
19,640,ALBURY,South-west Slopes,POINT (146.93986 -36.05182),250,10250,Albury - North/ Lavington
