state,pha,sa2
NSW,10063,119041668
NSW,10063,119041381
NSW,10063,119041671
NSW,10137,127011504
NSW,10071,120031676
NSW,10071,120031677
NSW,10080,121021403
NSW,10080,121021404
NSW,10081,121021577
NSW,10081,121021578
NSW,10081,121021579
NSW,10118,125011582
NSW,10118,125011583
NSW,10118,125011584
NSW,10090,122021420
NSW,10090,122021422
NSW,10069,120021387
NSW,10069,120021389
NSW,10049,119011571
NSW,10049,119011572
NSW,10103,123031445
NSW,10103,123031447
NSW,10050,119011354
NSW,10050,119011356
NSW,10007,102021044
NSW,10007,102021053
NSW,10014,115011290
NSW,10014,115011291
NSW,10091,122021421
NSW,10091,122021690
NSW,10091,122021691
NSW,10092,122031424
NSW,10092,122031695
NSW,10092,122031694
NSW,10055,119021362
NSW,10055,119021659
NSW,10055,119021660
NSW,10055,119021661
NSW,10064,119041669
NSW,10064,119041670
NSW,10064,119041378
NSW,10105,124011449
NSW,10105,124011452
NSW,10021,116011560
NSW,10021,116011561
NSW,10021,116011303
NSW,10022,116011304
NSW,10022,116011306
NSW,10106,124011450
NSW,10107,124011451
NSW,10107,124011453
NSW,10107,124011454
NSW,10107,124011455
NSW,10108,124021456
NSW,10041,118011339
NSW,10041,118011340
NSW,10042,118011341
NSW,10042,118011342
NSW,10042,118011347
NSW,10142,127021510
NSW,10142,127021514
NSW,10142,127021517
NSW,10032,117011634
NSW,10032,117011635
NSW,10032,117011323
NSW,10031,117011320
NSW,10031,117011321
NSW,10031,117011324
NSW,10031,117011325
NSW,10098,123021436
NSW,10098,123021439
NSW,10072,120031678
NSW,10072,120031679
NSW,10143,127021511
NSW,10001,102011030
NSW,10001,102011035
NSW,10001,102011036
NSW,10109,124031457
NSW,10109,124031707
NSW,10109,124031708
NSW,10096,123011433
NSW,10096,123011699
NSW,10096,123011700
NSW,10099,123021437
NSW,10099,123021444
NSW,10068,120011385
NSW,10068,120011386
NSW,10067,120011383
NSW,10067,120011672
NSW,10067,120011673
NSW,10144,127021513
NSW,10144,127021515
NSW,10073,120031392
NSW,10073,120031393
NSW,10150,128011602
NSW,10150,128011603
NSW,10150,128011605
NSW,10121,125021711
NSW,10121,125021712
NSW,10016,115011554
NSW,10016,115011558
NSW,10016,115011296
NSW,10017,115011557
NSW,10017,115011621
NSW,10017,115011622
NSW,10015,115011553
NSW,10015,115011555
NSW,10015,115011556
NSW,10015,115011294
NSW,10147,127031522
NSW,10147,127031730
NSW,10147,127031599
NSW,10147,127031733
NSW,10077,121011682
NSW,10077,121011684
NSW,10077,121011399
NSW,10123,125031479
NSW,10039,117031639
NSW,10039,117031642
NSW,10039,117031643
NSW,10039,117031647
NSW,10039,117031648
NSW,10010,102021047
NSW,10010,102021055
NSW,10051,119011355
NSW,10051,119011655
NSW,10051,119011656
NSW,10051,119011361
NSW,10100,123021438
NSW,10139,127011726
NSW,10139,127011727
NSW,10139,127011728
NSW,10139,127011729
NSW,10093,122031693
NSW,10093,122031425
NSW,10093,122031697
NSW,10045,118021651
NSW,10045,118021654
NSW,10086,121041413
NSW,10086,121041416
NSW,10151,128011604
NSW,10151,128011606
NSW,10152,128011529
NSW,10152,128011530
NSW,10152,128011531
NSW,10097,123011698
NSW,10097,123011701
NSW,10097,123011702
NSW,10043,118011649
NSW,10043,118011650
NSW,10043,118011345
NSW,10104,123031446
NSW,10104,123031448
NSW,10044,118011344
NSW,10044,118011346
NSW,10074,120031394
NSW,10074,120031395
NSW,10018,115021297
NSW,10018,115021298
NSW,10136,126021501
NSW,10136,126021590
NSW,10136,126021724
NSW,10136,126021725
NSW,10133,126021722
NSW,10133,126021723
NSW,10133,126021503
NSW,10110,124031459
NSW,10110,124031461
NSW,10153,128021607
NSW,10153,128021533
NSW,10153,128021608
NSW,10153,128021537
NSW,10153,128021609
NSW,10132,126011720
NSW,10132,126011721
NSW,10132,126011496
NSW,10002,102011031
NSW,10002,102011034
NSW,10002,102011038
NSW,10122,125021477
NSW,10122,125021478
NSW,10116,124051469
NSW,10116,124051470
NSW,10124,125031480
NSW,10141,127021509
NSW,10141,127021512
NSW,10145,127021516
NSW,10145,127021519
NSW,10145,127021520
NSW,10038,117031331
NSW,10038,117031641
NSW,10038,117031646
NSW,10028,116031314
NSW,10028,116031315
NSW,10102,123021704
NSW,10102,123021706
NSW,10111,124031460
NSW,10024,116021309
NSW,10024,116021628
NSW,10024,116021633
NSW,10083,121031407
NSW,10083,121031409
NSW,10011,102021048
NSW,10000,102011028
NSW,10000,102011029
NSW,10003,102011032
NSW,10003,102011043
NSW,10125,125031481
NSW,10125,125031483
NSW,10138,127011505
NSW,10138,127011592
NSW,10138,127011593
NSW,10138,127011594
NSW,10138,127011595
NSW,10126,125031713
