pha,sex,year,asr_per_100k,disease,population
10283,females,2017,1099.76288979954,Respiratory disease,112.0
10225,females,2017,1916.98429376572,Respiratory disease,155.0
10226,females,2017,1157.21878665641,Respiratory disease,184.0
10249,females,2017,2781.81730921255,Respiratory disease,165.0
10250,females,2017,3037.06398650794,Respiratory disease,314.0
10251,females,2017,1507.88613517816,Respiratory disease,237.0
10211,females,2017,1627.63308762436,Respiratory disease,219.0
10256,females,2017,2676.32142230667,Respiratory disease,226.0
10257,females,2017,1782.61442954615,Respiratory disease,79.0
10258,females,2017,1322.99777537888,Respiratory disease,59.0
10063,females,2017,1688.31377253377,Respiratory disease,359.0
10137,females,2017,,Respiratory disease,
10071,females,2017,1328.49890021652,Respiratory disease,180.0
10080,females,2017,1743.67022331256,Respiratory disease,309.0
10118,females,2017,1327.81707932534,Respiratory disease,293.0
10090,females,2017,1399.1047667475,Respiratory disease,193.0
10230,females,2017,2186.45590542225,Respiratory disease,196.0
10292,females,2017,2822.58393569077,Respiratory disease,245.0
10293,females,2017,1718.21272107549,Respiratory disease,248.0
10069,females,2017,1598.62474501444,Respiratory disease,220.0
10049,females,2017,1748.02349799079,Respiratory disease,260.0
10103,females,2017,1541.52550218689,Respiratory disease,216.0
10103,females,2017,1873.57533663771,Respiratory disease,185.0
10050,females,2017,2203.11418317228,Respiratory disease,360.0
10007,females,2017,2228.36547050814,Respiratory disease,409.0
10172,females,2017,2462.40752572592,Respiratory disease,68.0
10173,females,2017,3589.46361578198,Respiratory disease,506.0
10014,females,2017,1514.17646674533,Respiratory disease,308.0
10091,females,2017,1773.1353127212,Respiratory disease,340.0
10168,females,2017,2074.66351537242,Respiratory disease,197.0
10188,females,2017,1212.63133757911,Respiratory disease,151.0
10270,females,2017,2000.31145530655,Respiratory disease,179.0
10271,females,2017,796.154935402548,Respiratory disease,54.0
10055,females,2017,1791.1022813328,Respiratory disease,457.0
10284,females,2017,1661.33961627052,Respiratory disease,180.0
10220,females,2017,1639.40587844608,Respiratory disease,350.0
10318,females,2017,935.094522299282,Respiratory disease,77.0
10064,females,2017,1777.1642117941,Respiratory disease,344.0
10105,females,2017,1443.55064287432,Respiratory disease,218.0
10105,females,2017,3761.53228421394,Respiratory disease,560.0
10021,females,2017,1516.42001945505,Respiratory disease,414.0
10022,females,2017,2461.10377409287,Respiratory disease,396.0
10106,females,2017,1169.7147931883,Respiratory disease,139.0
10106,females,2017,1939.04816221074,Respiratory disease,449.0
10182,females,2017,1324.90203217609,Respiratory disease,99.0
10107,females,2017,1311.25886755176,Respiratory disease,392.0
10108,females,2017,,Respiratory disease,
10278,females,2017,1705.58287680022,Respiratory disease,93.0
10164,females,2017,,Respiratory disease,
10041,females,2017,1362.38264857305,Respiratory disease,266.0
10042,females,2017,1045.12036813164,Respiratory disease,210.0
10279,females,2017,1892.47453480901,Respiratory disease,271.0
10142,females,2017,1599.33864493605,Respiratory disease,294.0
10032,females,2017,1335.73651081098,Respiratory disease,243.0
10031,females,2017,322.84074456072,Respiratory disease,72.0
10193,females,2017,4108.7364712474,Respiratory disease,221.0
10326,females,2017,1612.98487090101,Respiratory disease,224.0
10098,females,2017,1734.46445726239,Respiratory disease,241.0
10161,females,2017,,Respiratory disease,
10201,females,2017,2663.93743272437,Respiratory disease,169.0
10201,females,2017,1730.74284786272,Respiratory disease,1874.0
10195,females,2017,3194.06520964861,Respiratory disease,271.0
10294,females,2017,1270.35795941,Respiratory disease,195.0
10236,females,2017,563.504429083575,Respiratory disease,88.0
10072,females,2017,1488.36114013262,Respiratory disease,168.0
10295,females,2017,1906.97432617649,Respiratory disease,104.0
10143,females,2017,1304.76552076714,Respiratory disease,163.0
10001,females,2017,1537.5885034958,Respiratory disease,216.0
10319,females,2017,,Respiratory disease,
10109,females,2017,2365.66319467587,Respiratory disease,436.0
10096,females,2017,2101.07908342781,Respiratory disease,402.0
10099,females,2017,2520.96272867965,Respiratory disease,497.0
10068,females,2017,1494.69457967821,Respiratory disease,336.0
10067,females,2017,1656.36145024411,Respiratory disease,310.0
10144,females,2017,2122.82662796658,Respiratory disease,327.0
10073,females,2017,1169.30361466079,Respiratory disease,233.0
10150,females,2017,1335.34654911319,Respiratory disease,221.0
10121,females,2017,1935.50445193774,Respiratory disease,200.0
10298,females,2017,1787.6710654561,Respiratory disease,166.0
10299,females,2017,2276.19335341244,Respiratory disease,198.0
10016,females,2017,2248.9779447329,Respiratory disease,379.0
10017,females,2017,1525.64906365306,Respiratory disease,265.0
10015,females,2017,914.770150248787,Respiratory disease,276.0
10147,females,2017,1953.07447263746,Respiratory disease,473.0
10202,females,2017,3669.86240117761,Respiratory disease,290.0
10202,females,2017,2307.97035938231,Respiratory disease,1993.0
10203,females,2017,523.96605132861,Respiratory disease,50.0
10272,females,2017,1687.29347635556,Respiratory disease,280.0
10077,females,2017,1745.33305616058,Respiratory disease,384.0
10123,females,2017,3515.83480728999,Respiratory disease,175.0
10010,females,2017,1796.93932441589,Respiratory disease,208.0
10100,females,2017,2148.45909376583,Respiratory disease,243.0
