population,pha,sex,year,asr_per_100k,disease
154.0,10245,males,2014,1759.6,Respiratory disease
183.0,10226,males,2014,2132.5,Respiratory disease
132.0,10249,males,2014,2027.6,Respiratory disease
304.0,10032,males,2014,1902.2,Respiratory disease
241.0,10250,males,2014,2002.9,Respiratory disease
314.0,10014,males,2014,1595.8,Respiratory disease
473.0,10055,males,2014,1991.0,Respiratory disease
221.0,50051,males,2014,1689.5,Respiratory disease
191.0,10256,males,2014,1735.6,Respiratory disease
39.0,10258,males,2014,1178.0,Respiratory disease
248.0,20028,males,2014,1368.6,Respiratory disease
342.0,10063,males,2014,2063.5,Respiratory disease
179.0,10137,males,2014,2166.0,Respiratory disease
189.0,10071,males,2014,1663.9,Respiratory disease
264.0,10090,males,2014,1869.0,Respiratory disease
297.0,10041,males,2014,1717.4,Respiratory disease
139.0,10188,males,2014,1753.8,Respiratory disease
233.0,10211,males,2014,1407.6,Respiratory disease
241.0,10080,males,2014,1660.9,Respiratory disease
352.0,10118,males,2014,2221.9,Respiratory disease
255.0,10259,males,2014,2721.4,Respiratory disease
208.0,10230,males,2014,1765.1,Respiratory disease
98.0,70006,males,2014,1692.1,Respiratory disease
215.0,10292,males,2014,1978.9,Respiratory disease
214.0,10069,males,2014,1603.3,Respiratory disease
99.0,10075,males,2014,1846.0,Respiratory disease
340.0,10049,males,2014,2103.0,Respiratory disease
179.0,10284,males,2014,1857.1,Respiratory disease
194.0,10042,males,2014,1582.7,Respiratory disease
141.0,20005,males,2014,2242.6,Respiratory disease
373.0,10173,males,2014,2217.4,Respiratory disease
,10172,males,2014,,Respiratory disease
182.0,10103,males,2014,1744.6,Respiratory disease
379.0,10050,males,2014,2286.2,Respiratory disease
372.0,10007,males,2014,1789.4,Respiratory disease
145.0,10168,males,2014,1520.1,Respiratory disease
128.0,70012,males,2014,2871.6,Respiratory disease
324.0,10091,males,2014,1753.1,Respiratory disease
158.0,10270,males,2014,1615.7,Respiratory disease
260.0,10263,males,2014,2702.2,Respiratory disease
52.0,10271,males,2014,1545.6,Respiratory disease
89.0,20026,males,2014,2226.3,Respiratory disease
323.0,10220,males,2014,1913.9,Respiratory disease
