pha,sex,year,asr_per_100k,disease,population
10245,males,2016,1953.2,Respiratory disease,184.0
10226,males,2016,2102.5,Respiratory disease,194.0
10249,males,2016,1948.5,Respiratory disease,148.0
10032,males,2016,1970.9,Respiratory disease,339.0
20054,males,2016,1712.7,Respiratory disease,179.0
10250,males,2016,1949.6,Respiratory disease,250.0
10014,males,2016,1493.7,Respiratory disease,323.0
10055,males,2016,2187.7,Respiratory disease,549.0
50051,males,2016,1759.4,Respiratory disease,245.0
10230,males,2016,1763.7,Respiratory disease,209.0
70006,males,2016,2470.7,Respiratory disease,136.0
10256,males,2016,1918.6,Respiratory disease,220.0
10258,males,2016,2680.9,Respiratory disease,86.0
10063,males,2016,2048.2,Respiratory disease,395.0
10137,males,2016,2285.2,Respiratory disease,195.0
10071,males,2016,1762.6,Respiratory disease,207.0
10196,males,2016,2735.4,Respiratory disease,323.0
10090,males,2016,1775.9,Respiratory disease,256.0
10041,males,2016,1673.6,Respiratory disease,304.0
10211,males,2016,1470.4,Respiratory disease,258.0
20028,males,2016,1500.1,Respiratory disease,292.0
10271,males,2016,1960.1,Respiratory disease,63.0
30128,males,2016,3288.7,Respiratory disease,355.0
10080,males,2016,1738.8,Respiratory disease,261.0
10118,males,2016,2239.1,Respiratory disease,389.0
10292,males,2016,2030.6,Respiratory disease,229.0
10069,males,2016,1805.4,Respiratory disease,257.0
10049,males,2016,2321.6,Respiratory disease,376.0
20026,males,2016,1231.4,Respiratory disease,51.0
10313,males,2016,3356.0,Respiratory disease,486.0
10284,males,2016,2289.4,Respiratory disease,226.0
10042,males,2016,1461.7,Respiratory disease,190.0
20005,males,2016,1399.8,Respiratory disease,97.0
10173,males,2016,2627.4,Respiratory disease,466.0
10168,males,2016,2044.6,Respiratory disease,200.0
10103,males,2016,2192.7,Respiratory disease,255.0
10050,males,2016,2120.8,Respiratory disease,378.0
10007,males,2016,1920.5,Respiratory disease,405.0
10188,males,2016,2436.1,Respiratory disease,196.0
10091,males,2016,1527.5,Respiratory disease,308.0
10270,males,2016,1942.8,Respiratory disease,199.0
30138,males,2016,3063.4,Respiratory disease,229.0
10220,males,2016,1997.3,Respiratory disease,330.0
10318,males,2016,1483.2,Respiratory disease,92.0
10064,males,2016,2177.7,Respiratory disease,431.0
10022,males,2016,2133.8,Respiratory disease,406.0
10021,males,2016,2144.6,Respiratory disease,481.0
10106,males,2016,1764.3,Respiratory disease,169.0
10182,males,2016,2414.2,Respiratory disease,100.0
10107,males,2016,1666.3,Respiratory disease,337.0
10108,males,2016,,Respiratory disease,
10278,males,2016,2299.2,Respiratory disease,110.0
10164,males,2016,,Respiratory disease,
10119,males,2016,1853.0,Respiratory disease,139.0
10193,males,2016,3625.8,Respiratory disease,219.0
10326,males,2016,1538.7,Respiratory disease,172.0
10105,males,2016,1764.9,Respiratory disease,186.0
20016,males,2016,1475.8,Respiratory disease,92.0
10279,males,2016,1911.7,Respiratory disease,282.0
10142,males,2016,2713.0,Respiratory disease,489.0
10162,males,2016,2285.4,Respiratory disease,273.0
10031,males,2016,2055.0,Respiratory disease,115.0
10098,males,2016,2826.6,Respiratory disease,256.0
10161,males,2016,,Respiratory disease,
10201,males,2016,2024.3,Respiratory disease,154.0
10195,males,2016,2819.3,Respiratory disease,317.0
20122,males,2016,1856.6,Respiratory disease,103.0
10096,males,2016,2540.6,Respiratory disease,425.0
40061,males,2016,1757.7,Respiratory disease,123.0
10043,males,2016,1663.9,Respiratory disease,338.0
10028,males,2016,3492.3,Respiratory disease,424.0
40008,males,2016,1545.5,Respiratory disease,74.0
10099,males,2016,2597.4,Respiratory disease,488.0
10294,males,2016,2160.2,Respiratory disease,179.0
10236,males,2016,1874.6,Respiratory disease,129.0
10072,males,2016,1637.3,Respiratory disease,187.0
30228,males,2016,3111.1,Respiratory disease,384.0
10295,males,2016,2452.8,Respiratory disease,111.0
10143,males,2016,1849.2,Respiratory disease,229.0
10001,males,2016,2107.9,Respiratory disease,206.0
10102,males,2016,2388.7,Respiratory disease,269.0
10011,males,2016,2294.7,Respiratory disease,291.0
40003,males,2016,1376.5,Respiratory disease,161.0
10194,males,2016,3008.0,Respiratory disease,231.0
10121,males,2016,1469.7,Respiratory disease,214.0
40045,males,2016,2390.9,Respiratory disease,188.0
10319,males,2016,1682.2,Respiratory disease,100.0
10109,males,2016,1961.9,Respiratory disease,359.0
10068,males,2016,1754.0,Respiratory disease,363.0
