pha,sex,year,asr_per_100k,disease,population
10283,males,2017,1363.31969974254,Respiratory disease,132.0
10225,males,2017,1924.00897922347,Respiratory disease,150.0
10226,males,2017,1117.53237429955,Respiratory disease,172.0
10249,males,2017,2361.31747052526,Respiratory disease,146.0
10250,males,2017,2891.91775157691,Respiratory disease,283.0
10251,males,2017,1579.71930591898,Respiratory disease,245.0
10211,males,2017,1732.35032230839,Respiratory disease,240.0
10256,males,2017,2831.85072860245,Respiratory disease,221.0
10257,males,2017,2222.54808469959,Respiratory disease,105.0
10258,males,2017,1677.98914454287,Respiratory disease,72.0
10063,males,2017,1879.17260770411,Respiratory disease,387.0
10137,males,2017,,Respiratory disease,
10071,males,2017,1738.28883712962,Respiratory disease,228.0
10080,males,2017,1768.26255521184,Respiratory disease,314.0
10118,males,2017,1600.51341621502,Respiratory disease,374.0
10090,males,2017,1286.35394856718,Respiratory disease,179.0
10230,males,2017,1956.87042976049,Respiratory disease,168.0
10292,males,2017,2966.76862101799,Respiratory disease,236.0
10293,males,2017,1763.56468649363,Respiratory disease,254.0
10069,males,2017,1880.82862656588,Respiratory disease,244.0
10049,males,2017,1940.54057458851,Respiratory disease,293.0
10103,males,2017,1608.52383991439,Respiratory disease,237.0
10103,males,2017,1952.04488157781,Respiratory disease,215.0
10050,males,2017,2447.36485934817,Respiratory disease,398.0
10007,males,2017,2476.88920468163,Respiratory disease,430.0
10172,males,2017,2499.86544338984,Respiratory disease,79.0
10173,males,2017,3297.18983291469,Respiratory disease,457.0
10014,males,2017,1731.76689810607,Respiratory disease,355.0
10091,males,2017,2056.61984507882,Respiratory disease,376.0
10168,males,2017,2204.09439503715,Respiratory disease,221.0
10188,males,2017,1447.76643527606,Respiratory disease,184.0
10270,males,2017,1716.22241249814,Respiratory disease,148.0
10271,males,2017,892.572092986252,Respiratory disease,58.0
10055,males,2017,2019.81743071513,Respiratory disease,500.0
10284,males,2017,2097.9868177539,Respiratory disease,213.0
10220,males,2017,2138.88780109515,Respiratory disease,453.0
10318,males,2017,813.909309450214,Respiratory disease,65.0
10064,males,2017,2058.01934599319,Respiratory disease,377.0
10105,males,2017,1645.13032252563,Respiratory disease,240.0
10105,males,2017,3760.17527319693,Respiratory disease,584.0
10021,males,2017,1772.68576087675,Respiratory disease,462.0
10022,males,2017,2410.99215465528,Respiratory disease,390.0
10106,males,2017,1394.59415158389,Respiratory disease,163.0
10106,males,2017,2210.52899250636,Respiratory disease,493.0
10182,males,2017,1227.11147320627,Respiratory disease,98.0
10107,males,2017,1320.64846273974,Respiratory disease,364.0
10108,males,2017,,Respiratory disease,
10278,males,2017,2259.98784643018,Respiratory disease,125.0
10164,males,2017,,Respiratory disease,
10041,males,2017,1354.52974634518,Respiratory disease,253.0
10042,males,2017,959.988747493985,Respiratory disease,181.0
10279,males,2017,1874.98260346504,Respiratory disease,259.0
10142,males,2017,1897.90175384902,Respiratory disease,353.0
10032,males,2017,1628.69963633215,Respiratory disease,278.0
10031,males,2017,509.149678828562,Respiratory disease,113.0
10193,males,2017,3227.22511535262,Respiratory disease,193.0
10326,males,2017,1627.7957732033,Respiratory disease,221.0
10098,males,2017,1857.22690513096,Respiratory disease,263.0
10161,males,2017,,Respiratory disease,
10201,males,2017,2333.40024946513,Respiratory disease,165.0
10201,males,2017,1810.29171789042,Respiratory disease,1868.0
10195,males,2017,3350.04179821901,Respiratory disease,287.0
10294,males,2017,1025.99117819095,Respiratory disease,154.0
10236,males,2017,647.561243490795,Respiratory disease,101.0
10072,males,2017,1366.17487763912,Respiratory disease,147.0
10295,males,2017,2192.16628843835,Respiratory disease,111.0
10143,males,2017,1786.30629656719,Respiratory disease,214.0
10001,males,2017,1212.41987828875,Respiratory disease,169.0
10319,males,2017,,Respiratory disease,
10109,males,2017,2494.39361506579,Respiratory disease,461.0
10096,males,2017,2160.87117602442,Respiratory disease,406.0
10099,males,2017,2537.71521819492,Respiratory disease,507.0
10068,males,2017,1798.29959128185,Respiratory disease,378.0
10067,males,2017,1874.76517899521,Respiratory disease,347.0
10144,males,2017,2261.23265100817,Respiratory disease,335.0
10073,males,2017,1542.18784833987,Respiratory disease,286.0
10150,males,2017,1459.17684376711,Respiratory disease,239.0
10121,males,2017,1870.56510578462,Respiratory disease,194.0
10298,males,2017,1900.20304205144,Respiratory disease,170.0
10299,males,2017,2022.56914404459,Respiratory disease,192.0
10016,males,2017,2005.40813078423,Respiratory disease,322.0
10017,males,2017,1641.22541870434,Respiratory disease,277.0
10015,males,2017,952.22761232347,Respiratory disease,290.0
10147,males,2017,2156.05669150822,Respiratory disease,516.0
10202,males,2017,3410.78252297735,Respiratory disease,266.0
10202,males,2017,2406.11219738341,Respiratory disease,2041.0
10203,males,2017,800.749770094299,Respiratory disease,73.0
10272,males,2017,1673.11383760197,Respiratory disease,268.0
10077,males,2017,2128.30015537244,Respiratory disease,451.0
10123,males,2017,4288.90133546605,Respiratory disease,211.0
10010,males,2017,1964.46804244809,Respiratory disease,225.0
10100,males,2017,1906.76656523182,Respiratory disease,222.0
10194,males,2017,1857.01206301478,Respiratory disease,248.0
10139,males,2017,2896.03166189871,Respiratory disease,255.0
10189,males,2017,2843.27949494575,Respiratory disease,379.0
10175,males,2017,3434.37504455628,Respiratory disease,295.0
10045,males,2017,1930.86860060007,Respiratory disease,173.0
10165,males,2017,,Respiratory disease,
10166,males,2017,1392.86506658486,Respiratory disease,77.0
10196,males,2017,1810.71944241868,Respiratory disease,273.0
10313,males,2017,1869.9085427857,Respiratory disease,448.0
10253,males,2017,2629.23057894077,Respiratory disease,364.0
10231,males,2017,2214.45733964489,Respiratory disease,188.0
10176,males,2017,2420.68607149764,Respiratory disease,112.0
10177,males,2017,1883.90138739344,Respiratory disease,220.0
10086,males,2017,1495.38198416492,Respiratory disease,278.0
10093,males,2017,2988.57464817294,Respiratory disease,374.0
10151,males,2017,1082.6201434537,Respiratory disease,209.0
10152,males,2017,2172.19000579261,Respiratory disease,479.0
10221,males,2017,3726.09692592222,Respiratory disease,321.0
10092,males,2017,2787.32305693415,Respiratory disease,407.0
10254,males,2017,4179.10062533861,Respiratory disease,175.0
10255,males,2017,1933.92763947691,Respiratory disease,165.0
10043,males,2017,1799.43456532308,Respiratory disease,331.0
10104,males,2017,952.298746192187,Respiratory disease,152.0
10104,males,2017,1958.73381178214,Respiratory disease,910.0
10044,males,2017,970.221029178482,Respiratory disease,185.0
10197,males,2017,2112.4928143022,Respiratory disease,282.0
10198,males,2017,3367.94698451928,Respiratory disease,244.0
10199,males,2017,1965.0957264929,Respiratory disease,72.0
10074,males,2017,2783.6054838917,Respiratory disease,331.0
10204,males,2017,2346.28298124778,Respiratory disease,108.0
10018,males,2017,2581.99153842244,Respiratory disease,260.0
10133,males,2017,1968.70334180529,Respiratory disease,343.0
10170,males,2017,,Respiratory disease,
10280,males,2017,2243.91070263506,Respiratory disease,158.0
10110,males,2017,2721.98969419174,Respiratory disease,375.0
10153,males,2017,1590.33206629848,Respiratory disease,294.0
10132,males,2017,2083.73093649316,Respiratory disease,365.0
10002,males,2017,1395.30093846982,Respiratory disease,335.0
10122,males,2017,1917.79750825541,Respiratory disease,401.0
10116,males,2017,2333.63408314417,Respiratory disease,211.0
10296,males,2017,1398.89602378106,Respiratory disease,63.0
10124,males,2017,2313.43246492878,Respiratory disease,223.0
10141,males,2017,2121.25167484528,Respiratory disease,283.0
10145,males,2017,2342.63887929013,Respiratory disease,471.0
10232,males,2017,2312.12726712322,Respiratory disease,194.0
10237,males,2017,2110.03020400169,Respiratory disease,384.0
10128,males,2017,1889.63868767529,Respiratory disease,433.0
10038,males,2017,1036.99067420111,Respiratory disease,207.0
10259,males,2017,1683.07598879704,Respiratory disease,210.0
10273,males,2017,2344.10980128736,Respiratory disease,204.0
10028,males,2017,1777.18402481849,Respiratory disease,271.0
10111,males,2017,2005.17935889126,Respiratory disease,192.0
10024,males,2017,2009.52501054466,Respiratory disease,393.0
10246,males,2017,1883.43905388627,Respiratory disease,189.0
10300,males,2017,3018.5450216104,Respiratory disease,191.0
10083,males,2017,1982.95232882218,Respiratory disease,335.0
10011,males,2017,3618.93381997839,Respiratory disease,349.0
10000,males,2017,1714.69165811944,Respiratory disease,158.0
10003,males,2017,3706.56220945077,Respiratory disease,414.0
10156,males,2017,4306.64852980571,Respiratory disease,354.0
10157,males,2017,3145.7972908493,Respiratory disease,230.0
10185,males,2017,4958.53195055514,Respiratory disease,321.0
10186,males,2017,3050.17531878826,Respiratory disease,174.0
10125,males,2017,2588.01500288015,Respiratory disease,488.0
10138,males,2017,1603.50117992468,Respiratory disease,400.0
10051,males,2017,2067.02984326368,Respiratory disease,592.0
10126,males,2017,2368.81486396767,Respiratory disease,265.0
10308,males,2017,4297.65649328219,Respiratory disease,362.0
10309,males,2017,2938.49213411304,Respiratory disease,224.0
10127,males,2017,2093.59779462001,Respiratory disease,517.0
10264,males,2017,2964.26731458713,Respiratory disease,212.0
10285,males,2017,2077.34379987434,Respiratory disease,213.0
10019,males,2017,1716.76663221164,Respiratory disease,257.0
10233,males,2017,1454.29829701055,Respiratory disease,135.0
