year,month,disease,age,population,proportion
2016,1,Res p,45+ years,6441,67.0
2016,2,Respiratory - acute respiratory infection,45+ years,5907,61.5
2016,3,Respiratory - acute respiratory infection,45+ years,6783,70.6
2016,4,Respiratory - acute respiratory infection,45+ years,7210,75.1
2016,5,Respiratory - acute respiratory infection,45+ years,7934,82.6
2016,6,Respiratory - acute respiratory infection,45+ years,8882,92.5
2016,7,Respiratory - acute respiratory infection,45+ years,11201,116.6
2016,8,Respiratory - acute respiratory infection,45+ years,14635,152.3
2016,9,Respiratory - acute respiratory infection,45+ years,14602,152.0
2016,10,Respiratory - acute respiratory infection,45+ years,11857,123.4
2016,11,Respiratory - acute respiratory infection,45+ years,9323,97.0
2016,12,Respiratory - acute respiratory infection,45+ years,8743,91.0
2017,1,Respiratory - acute respiratory infection,45+ years,7868,80.2
2017,2,Respiratory - acute respiratory infection,45+ years,6286,64.0
2017,3,Respiratory - acute respiratory infection,45+ years,7663,78.1
2017,4,Respiratory - acute respiratory infection,45+ years,8115,82.7
2017,5,Respiratory - acute respiratory infection,45+ years,9011,91.8
2017,6,Respiratory - acute respiratory infection,45+ years,10308,105.0
2017,7,Respiratory - acute respiratory infection,45+ years,14913,151.9
2017,8,Respiratory - acute respiratory infection,45+ years,20637,210.2
2017,9,Respiratory - acute respiratory infection,45+ years,18982,193.4
2017,10,Respiratory - acute respiratory infection,45+ years,11568,117.8
2017,11,Respiratory - acute respiratory infection,45+ years,8728,88.9
2017,12,Respiratory - acute respiratory infection,45+ years,8382,85.4
2018,1,Respiratory - acute respiratory infection,45+ years,7453,74.5
2018,2,Respiratory - acute respiratory infection,45+ years,6128,61.2
2018,3,Respiratory - acute respiratory infection,45+ years,7258,72.5
2018,4,Respiratory - acute respiratory infection,45+ years,7492,74.9
2018,5,Respiratory - acute respiratory infection,45+ years,8577,85.7
2018,6,Respiratory - acute respiratory infection,45+ years,9115,91.1
2018,7,Respiratory - acute respiratory infection,45+ years,11036,110.3
2018,8,Respiratory - acute respiratory infection,45+ years,11195,111.8
2018,9,Respiratory - acute respiratory infection,45+ years,11332,113.2
2018,10,Respiratory - acute respiratory infection,45+ years,10642,106.3
2018,11,Respiratory - acute respiratory infection,45+ years,9398,93.9
2018,12,Respiratory - acute respiratory infection,45+ years,9523,95.1
2019,1,Respiratory - acute respiratory infection,45+ years,8369,82.0
2019,2,Respiratory - acute respiratory infection,45+ years,6983,68.4
2019,3,Respiratory - acute respiratory infection,45+ years,8214,80.5
2019,4,Respiratory - acute respiratory infection,45+ years,9588,94.0
2019,5,Respiratory - acute respiratory infection,45+ years,11102,108.8
2019,6,Respiratory - acute respiratory infection,45+ years,13372,131.0
2019,7,Respiratory - acute respiratory infection,45+ years,15578,152.6
2019,8,Respiratory - acute respiratory infection,45+ years,14450,141.6
2019,9,Respiratory - acute respiratory infection,45+ years,13072,128.1
2019,10,Respiratory - acute respiratory infection,45+ years,11049,108.3
2019,11,Respiratory - acute respiratory infection,45+ years,9156,89.7
2019,12,Respiratory - acute respiratory infection,45+ years,9271,90.8
2020,1,Respiratory - acute respiratory infection,45+ years,8497,81.3
2020,2,Respiratory - acute respiratory infection,45+ years,7141,68.4
2020,3,Respiratory - acute respiratory infection,45+ years,8670,83.0
2020,4,Respiratory - acute respiratory infection,45+ years,5560,53.2
2020,5,Respiratory - acute respiratory infection,45+ years,5100,48.8
2020,6,Respiratory - acute respiratory infection,45+ years,5397,51.7
2020,7,Respiratory - acute respiratory infection,45+ years,6280,60.1
2020,8,Respiratory - acute respiratory infection,45+ years,6081,58.2
2020,9,Respiratory - acute respiratory infection,45+ years,5320,50.9
2020,10,Respiratory - acute respiratory infection,45+ years,5653,54.1
2020,11,Respiratory - acute respiratory infection,45+ years,5626,53.9
2020,12,Respiratory - acute respiratory infection,45+ years,5921,56.7
2021,1,Respiratory - acute respiratory infection,45+ years,5534,52.2
2021,2,Respiratory - acute respiratory infection,45+ years,4927,46.5
2021,3,Respiratory - acute respiratory infection,45+ years,6096,57.6
2021,4,Respiratory - acute respiratory infection,45+ years,6271,59.2
2021,5,Respiratory - acute respiratory infection,45+ years,7124,67.3
2021,6,Respiratory - acute respiratory infection,45+ years,7365,69.5
2021,7,Respiratory - acute respiratory infection,45+ years,7483,70.6
2021,8,Respiratory - acute respiratory infection,45+ years,7598,71.7
2021,9,Respiratory - acute respiratory infection,45+ years,8898,84.0
2021,10,Respiratory - acute respiratory infection,45+ years,8143,76.9
2021,11,Respiratory - acute respiratory infection,45+ years,6738,63.6
2021,12,Respiratory - acute respiratory infection,45+ years,7846,74.1
2016,1,COPD,45+ years,4863,50.6
2016,2,COPD,45+ years,4400,45.8
2016,3,COPD,45+ years,4898,51.0
2016,4,COPD,45+ years,5219,54.3
2016,5,COPD,45+ years,6086,63.4
2016,6,COPD,45+ years,6403,66.7
2016,7,COPD,45+ years,7714,80.3
2016,8,COPD,45+ years,8314,86.5
2016,9,COPD,45+ years,8051,83.8
2016,10,COPD,45+ years,6993,72.8
2016,11,COPD,45+ years,6043,62.9
2016,12,COPD,45+ years,5798,60.4
2017,1,COPD,45+ years,5258,53.6
2017,2,COPD,45+ years,4790,48.8
2017,3,COPD,45+ years,5655,57.6
2017,4,COPD,45+ years,5601,57.1
2017,5,COPD,45+ years,6750,68.8
2017,6,COPD,45+ years,7087,72.2
2017,7,COPD,45+ years,8875,90.4
2017,8,COPD,45+ years,9268,94.4
2017,9,COPD,45+ years,8602,87.6
2017,10,COPD,45+ years,6665,67.9
2017,11,COPD,45+ years,5910,60.2
2017,12,COPD,45+ years,5549,56.5
2018,1,COPD,45+ years,5214,52.1
2018,2,COPD,45+ years,4547,45.4
2018,3,COPD,45+ years,5021,50.2
2018,4,COPD,45+ years,5185,51.8
2018,5,COPD,45+ years,6041,60.4
2018,6,COPD,45+ years,6706,67.0
2018,7,COPD,45+ years,7660,76.5
2018,8,COPD,45+ years,7622,76.2
2018,9,COPD,45+ years,6945,69.4
2018,10,COPD,45+ years,7026,70.2
2018,11,COPD,45+ years,6220,62.1
2018,12,COPD,45+ years,5933,59.3
2019,1,COPD,45+ years,5358,52.5
2019,2,COPD,45+ years,4734,46.4
2019,3,COPD,45+ years,5397,52.9
2019,4,COPD,45+ years,5624,55.1
2019,5,COPD,45+ years,6733,66.0
2019,6,COPD,45+ years,7075,69.3
2019,7,COPD,45+ years,8018,78.6
2019,8,COPD,45+ years,7590,74.4
